Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Activeness,LateMinutes,daySteps
1644430081,2016-04-30,1,124,142,Moderate,18,18213
2347167796,2016-04-14,1,445,489,High,44,10129
3977333714,2016-04-16,1,283,510,High,227,13459
3977333714,2016-04-17,1,381,566,High,185,10415
3977333714,2016-04-19,1,219,395,High,176,12414
3977333714,2016-04-23,1,235,372,High,137,12058
3977333714,2016-04-30,1,237,382,High,145,13238
3977333714,2016-05-02,1,230,384,High,154,16520
3977333714,2016-05-04,1,213,336,High,123,13559
3977333714,2016-05-05,1,318,480,High,162,12312
3977333714,2016-05-06,1,323,512,High,189,11677
3977333714,2016-05-07,1,237,443,High,206,11550
3977333714,2016-05-10,1,312,452,High,140,13072
4319703577,2016-04-27,1,286,307,Moderate,21,10780
4388161847,2016-04-27,1,439,500,High,61,11193
4388161847,2016-05-05,1,471,495,High,24,9603
4388161847,2016-05-05,1,471,495,High,24,9603
4388161847,2016-05-07,1,472,496,High,24,22770
4702921684,2016-04-17,1,591,612,Moderate,21,12692
4702921684,2016-04-23,1,465,475,Moderate,10,15126
4702921684,2016-05-10,1,416,431,Moderate,15,10613
5577150313,2016-04-15,1,392,413,Moderate,21,12087
5577150313,2016-04-16,1,406,445,Moderate,39,14269
5577150313,2016-04-17,1,549,583,Moderate,34,12231
5577150313,2016-04-21,1,414,437,Moderate,23,10830
5577150313,2016-04-24,1,543,615,Moderate,72,15764
5577150313,2016-04-30,1,412,433,Moderate,21,12363
5577150313,2016-05-01,1,379,398,Moderate,19,13368
5577150313,2016-05-10,1,504,562,Moderate,58,8869
6962181067,2016-05-02,1,466,482,High,16,12912
7086361926,2016-04-19,1,472,483,High,11,10688
7086361926,2016-04-22,1,428,448,High,20,9753
7086361926,2016-04-28,1,354,367,High,13,11584
7086361926,2016-05-09,1,427,438,High,11,13566
8792009665,2016-04-23,1,339,360,Low,21,5245
1644430081,2016-04-29,1,119,127,Moderate,8,3176
1644430081,2016-05-08,1,137,154,Moderate,17,6724
1844505072,2016-04-15,1,644,961,Low,317,3844
1844505072,2016-04-30,1,722,961,Low,239,4014
1927972279,2016-04-13,1,398,422,Low,24,356
1927972279,2016-04-28,1,166,178,Low,12,1675
2026352035,2016-04-13,1,531,565,Moderate,34,4993
2026352035,2016-04-14,1,545,568,Moderate,23,3335
2026352035,2016-04-15,1,523,573,Moderate,50,3821
2026352035,2016-04-16,1,524,567,Moderate,43,2547
2026352035,2016-04-17,1,437,498,Moderate,61,838
2026352035,2016-04-19,1,498,540,Moderate,42,2424
2026352035,2016-04-20,1,461,510,Moderate,49,7222
2026352035,2016-04-21,1,477,514,Moderate,37,2467
2026352035,2016-04-22,1,520,545,Moderate,25,2915
2026352035,2016-04-23,1,522,554,Moderate,32,12357
2026352035,2016-04-24,1,555,591,Moderate,36,3490
2026352035,2016-04-25,1,506,531,Moderate,25,6017
2026352035,2016-04-27,1,508,545,Moderate,37,6088
2026352035,2016-04-28,1,513,545,Moderate,32,6375
2026352035,2016-04-29,1,490,510,Moderate,20,7604
2026352035,2016-04-30,1,573,607,Moderate,34,4729
2026352035,2016-05-01,1,527,546,Moderate,19,3609
2026352035,2016-05-02,1,511,543,Moderate,32,7018
2026352035,2016-05-04,1,538,560,Moderate,22,6564
2026352035,2016-05-05,1,468,485,Moderate,17,12167
2026352035,2016-05-06,1,524,548,Moderate,24,8198
2026352035,2016-05-08,1,541,568,Moderate,27,5528
2026352035,2016-05-09,1,531,556,Moderate,25,10685
2026352035,2016-05-10,1,357,380,Moderate,23,254
2026352035,2016-05-11,1,523,553,Moderate,30,8580
2026352035,2016-05-12,1,456,485,Moderate,29,8891
2320127002,2016-04-23,1,61,69,Low,8,5079
2347167796,2016-04-24,1,442,459,High,17,9471
2347167796,2016-04-26,1,436,490,High,54,5980
2347167796,2016-04-28,1,408,450,High,42,5439
2347167796,2016-04-29,1,411,473,High,62,42
3977333714,2016-04-21,1,332,512,High,180,6093
4020332650,2016-05-03,1,322,332,Low,10,4496
4020332650,2016-05-06,1,385,408,Low,23,4369
4020332650,2016-05-08,1,364,402,Low,38,5862
4020332650,2016-05-10,1,442,494,Low,52,5546
4319703577,2016-04-15,1,465,491,Moderate,26,5664
4319703577,2016-04-16,1,506,522,Moderate,16,4744
4319703577,2016-04-21,1,59,65,Moderate,6,3702
4319703577,2016-04-23,1,692,722,Moderate,30,4935
4319703577,2016-05-01,1,484,500,Moderate,16,1251
4319703577,2016-05-08,1,602,638,Moderate,36,3672
4388161847,2016-04-15,1,499,526,High,27,8758
4445114986,2016-04-14,1,441,492,Low,51,3974
4445114986,2016-04-16,1,462,499,Low,37,3945
4445114986,2016-04-17,1,98,107,Low,9,2268
4445114986,2016-04-20,1,439,462,Low,23,2072
4445114986,2016-04-21,1,436,469,Low,33,3809
4445114986,2016-04-22,1,388,417,Low,29,6831
4445114986,2016-04-25,1,328,345,Low,17,3385
4445114986,2016-04-28,1,419,442,Low,23,4493
4445114986,2016-04-29,1,106,108,Low,2,4676
4445114986,2016-04-30,1,322,353,Low,31,6222
4445114986,2016-05-09,1,457,533,Low,76,5275
4445114986,2016-05-10,1,405,426,Low,21,3915
4445114986,2016-05-12,1,483,501,Low,18,768
4558609924,2016-05-01,1,115,129,Moderate,14,3428
4702921684,2016-04-12,1,425,439,Moderate,14,7213
4702921684,2016-04-14,1,384,415,Moderate,31,7860
4702921684,2016-05-03,1,327,373,Moderate,46,9454
4702921684,2016-05-12,1,404,442,Moderate,38,2752
5553957443,2016-04-17,1,350,402,Moderate,52,655
5553957443,2016-04-20,1,658,678,Moderate,20,2713
5553957443,2016-05-04,1,447,470,Moderate,23,4249
5553957443,2016-05-07,1,442,470,Moderate,28,1868
5553957443,2016-05-11,1,463,486,Moderate,23,4926
6117666160,2016-04-19,1,465,492,Moderate,27,11135
6117666160,2016-04-22,1,480,546,Moderate,66,8206
6117666160,2016-04-23,1,492,539,Moderate,47,11495
6117666160,2016-04-24,1,353,367,Moderate,14,7623
6117666160,2016-04-27,1,542,557,Moderate,15,9411
6117666160,2016-04-29,1,600,636,Moderate,36,9592
6117666160,2016-05-01,1,507,575,Moderate,68,8915
6117666160,2016-05-05,1,392,415,Moderate,23,9799
6117666160,2016-05-08,1,555,603,Moderate,48,7328
6117666160,2016-05-09,1,492,522,Moderate,30,4477
6775888955,2016-04-15,1,391,406,Low,15,1282
6962181067,2016-04-15,1,370,386,High,16,5563
6962181067,2016-04-24,1,511,514,High,3,5029
6962181067,2016-05-01,1,411,426,High,15,5454
6962181067,2016-05-07,1,298,334,High,36,6815
7007744171,2016-04-16,1,79,82,High,3,4631
7007744171,2016-05-01,1,58,61,High,3,5600
7086361926,2016-04-24,1,681,704,High,23,3520
8378563200,2016-04-24,1,458,492,High,34,3703
8378563200,2016-04-30,1,468,555,High,87,2946
8378563200,2016-05-08,1,545,606,High,61,2943
8792009665,2016-04-12,1,458,493,Low,35,2564
8792009665,2016-04-13,1,531,552,Low,21,1320
8792009665,2016-04-14,1,486,503,Low,17,1219
8792009665,2016-04-15,1,363,377,Low,14,2483
8792009665,2016-04-27,1,423,428,Low,5,1758
8792009665,2016-04-28,1,402,416,Low,14,6157
8792009665,2016-05-01,1,503,527,Low,24,1619
8792009665,2016-05-02,1,415,423,Low,8,1831
8792009665,2016-05-03,1,516,545,Low,29,2421
8792009665,2016-05-04,1,439,463,Low,24,2283
4445114986,2016-04-27,1,332,374,Low,42,7243
8378563200,2016-05-05,1,381,417,High,36,8567
4445114986,2016-05-02,1,502,542,Low,40,6910
6962181067,2016-04-20,1,418,424,High,6,13928
7086361926,2016-05-12,1,444,457,High,13,3789
8378563200,2016-04-27,1,531,600,High,69,7359
8378563200,2016-05-02,1,351,385,High,34,6064
1503960366,2016-04-24,1,430,449,High,19,10039
4319703577,2016-04-24,1,467,501,Moderate,34,4081
4388161847,2016-04-23,1,478,501,High,23,13236
4702921684,2016-05-05,1,414,428,Moderate,14,8614
8053475328,2016-04-20,1,486,493,Very High,7,15108
8378563200,2016-05-06,1,323,355,High,32,7045
1503960366,2016-05-06,1,334,367,High,33,12159
5553957443,2016-05-12,1,438,475,Moderate,37,3121
7086361926,2016-04-12,1,514,525,High,11,11317
7086361926,2016-04-21,1,390,411,High,21,9469
7086361926,2016-04-27,1,469,479,High,10,11107
8378563200,2016-05-12,1,496,546,High,50,4561
1644430081,2016-05-02,1,796,961,Moderate,165,3758
1844505072,2016-05-01,1,590,961,Low,371,2573
2347167796,2016-04-17,1,556,602,High,46,5472
2347167796,2016-04-19,1,465,514,High,49,6711
6962181067,2016-04-26,1,441,446,High,5,10433
6962181067,2016-05-11,1,452,480,High,28,6722
1503960366,2016-04-21,1,325,364,High,39,9819
1503960366,2016-05-08,1,594,611,High,17,10060
2026352035,2016-04-12,1,503,546,Moderate,43,4414
3977333714,2016-04-28,1,261,423,High,162,7114
4319703577,2016-04-25,1,488,506,Moderate,18,9259
4319703577,2016-04-28,1,497,522,Moderate,25,10817
4388161847,2016-04-18,1,99,104,High,5,11009
4702921684,2016-04-15,1,253,257,Moderate,4,6506
4702921684,2016-04-19,1,457,487,Moderate,30,6708
5553957443,2016-05-08,1,568,608,Moderate,40,6083
5577150313,2016-05-03,1,508,543,Moderate,35,11045
6962181067,2016-04-28,1,440,453,High,13,12627
6962181067,2016-05-12,1,516,535,High,19,3587
8378563200,2016-04-20,1,381,409,High,28,9388
2347167796,2016-04-27,1,448,499,High,51,11423
3977333714,2016-04-25,1,262,467,High,205,11177
4319703577,2016-04-14,1,535,557,Moderate,22,10210
4319703577,2016-04-18,1,515,551,Moderate,36,2276
4388161847,2016-04-28,1,428,458,High,30,10074
4702921684,2016-04-28,1,442,461,Moderate,19,9023
5553957443,2016-05-02,1,409,471,Moderate,62,9769
5553957443,2016-05-06,1,400,434,Moderate,34,9632
5577150313,2016-05-04,1,603,634,Moderate,31,5206
3977333714,2016-04-27,1,349,540,High,191,7193
6117666160,2016-04-20,1,474,502,Moderate,28,10449
8378563200,2016-04-18,1,398,451,High,53,13630
8378563200,2016-04-23,1,565,591,High,26,5709
8378563200,2016-04-28,1,506,556,High,50,5417
8378563200,2016-05-01,1,475,539,High,64,11419
8378563200,2016-05-04,1,441,477,High,36,7875
8378563200,2016-05-11,1,368,387,High,19,9143
8792009665,2016-04-20,1,528,547,Low,19,3147
1503960366,2016-05-09,1,338,342,High,4,12022
2347167796,2016-04-25,1,433,471,High,38,9482
4319703577,2016-05-02,1,478,506,Moderate,28,9261
4319703577,2016-05-06,1,450,491,Moderate,41,9524
5577150313,2016-04-13,1,432,458,Moderate,26,5077
1503960366,2016-04-20,1,360,377,High,17,10544
1503960366,2016-04-29,1,341,354,High,13,11181
3977333714,2016-04-22,1,355,476,High,121,8911
4319703577,2016-05-10,1,487,517,Moderate,30,9487
4388161847,2016-04-21,1,442,458,High,16,10055
4702921684,2016-05-09,1,435,458,Moderate,23,8232
7086361926,2016-05-04,1,420,436,High,16,10988
8378563200,2016-04-22,1,441,469,High,28,12200
1503960366,2016-04-12,1,327,346,High,19,13162
5553957443,2016-04-12,1,441,464,Moderate,23,11596
5553957443,2016-04-28,1,421,457,Moderate,36,11393
7086361926,2016-04-20,1,492,502,High,10,14365
8378563200,2016-05-09,1,359,399,High,40,8382
8378563200,2016-05-10,1,342,391,High,49,6582
1503960366,2016-04-25,1,277,323,High,46,15355
4319703577,2016-05-09,1,535,565,Moderate,30,10378
4388161847,2016-05-10,1,354,375,High,21,10299
6962181067,2016-04-12,1,366,387,High,21,10199
6962181067,2016-05-08,1,541,569,High,28,4188
8053475328,2016-04-23,1,331,337,Very High,6,22359
8792009665,2016-04-29,1,398,406,Low,8,8360
1503960366,2016-05-02,1,277,309,High,32,14727
4020332650,2016-04-12,1,501,541,Low,40,8539
4388161847,2016-05-01,1,547,597,High,50,10255
4702921684,2016-04-25,1,370,380,Moderate,10,9167
4702921684,2016-05-04,1,412,434,Moderate,22,8161
5553957443,2016-04-29,1,450,495,Moderate,45,12764
5577150313,2016-05-11,1,431,476,Moderate,45,4038
6117666160,2016-04-16,1,380,398,Moderate,18,14450
6962181067,2016-04-29,1,433,447,High,14,10762
7086361926,2016-05-01,1,388,407,High,19,12390
8378563200,2016-04-12,1,338,356,High,18,7626
2347167796,2016-04-18,1,500,557,High,57,8247
4388161847,2016-04-19,1,329,338,High,9,10181
4702921684,2016-04-27,1,432,449,Moderate,17,7047
4702921684,2016-05-06,1,404,449,Moderate,45,6943
5553957443,2016-04-22,1,322,353,Moderate,31,11682
5553957443,2016-04-27,1,347,391,Moderate,44,10538
5577150313,2016-04-12,1,419,438,Moderate,19,8135
5577150313,2016-04-20,1,447,480,Moderate,33,8330
5577150313,2016-04-27,1,424,452,Moderate,28,6805
6962181067,2016-04-30,1,422,424,High,2,10081
8378563200,2016-04-21,1,396,417,High,21,15148
8378563200,2016-04-25,1,388,402,High,14,12405
8378563200,2016-04-25,1,388,402,High,14,12405
7086361926,2016-04-30,1,485,489,High,4,14560
4319703577,2016-04-20,1,523,543,Moderate,20,8954
4319703577,2016-04-29,1,523,546,Moderate,23,7990
4319703577,2016-05-11,1,529,558,Moderate,29,9129
4388161847,2016-05-11,1,469,494,High,25,10201
5553957443,2016-04-26,1,412,453,Moderate,41,11886
6775888955,2016-04-13,1,235,260,Low,25,4053
8378563200,2016-04-26,1,550,584,High,34,16208
3977333714,2016-04-12,1,274,469,High,195,8856
4319703577,2016-04-22,1,533,550,Moderate,17,4500
4388161847,2016-05-09,1,62,65,High,3,10218
4702921684,2016-04-29,1,433,447,Moderate,14,9930
6117666160,2016-04-21,1,508,550,Moderate,42,19542
8378563200,2016-04-19,1,387,421,High,34,13070
1503960366,2016-04-17,1,700,712,High,12,9705
8053475328,2016-05-07,1,74,75,Very High,1,19769
8378563200,2016-05-03,1,405,429,High,24,8712
8792009665,2016-04-30,1,343,360,Low,17,7174
1503960366,2016-04-23,1,361,384,High,23,14371
4020332650,2016-04-16,1,77,77,Low,0,1982
4319703577,2016-04-26,1,505,516,Moderate,11,9899
4388161847,2016-05-04,1,390,414,High,24,12375
4558609924,2016-04-21,1,126,137,Moderate,11,13743
5577150313,2016-05-05,1,74,78,Moderate,4,7550
6962181067,2016-05-09,1,489,497,High,8,12342
7086361926,2016-04-15,1,377,386,High,9,8585
8378563200,2016-04-14,1,424,455,High,31,13318
4445114986,2016-05-11,1,499,530,Low,31,9105
5553957443,2016-05-09,1,453,494,Moderate,41,11611
6962181067,2016-05-05,1,467,491,High,24,10524
1503960366,2016-04-26,1,245,274,High,29,13755
1503960366,2016-05-11,1,285,306,High,21,12770
3977333714,2016-04-14,1,291,397,High,106,7641
4388161847,2016-04-26,1,319,346,High,27,9461
5577150313,2016-04-19,1,449,465,Moderate,16,12574
8378563200,2016-04-15,1,513,533,High,20,14461
1503960366,2016-05-03,1,273,296,High,23,15103
1503960366,2016-05-05,1,247,264,High,17,14070
2347167796,2016-04-15,1,452,504,High,52,10465
5577150313,2016-04-23,1,384,402,Moderate,18,7638
6775888955,2016-04-14,1,423,441,Low,18,5162
4388161847,2016-04-22,1,82,85,High,3,12139
2347167796,2016-04-21,1,460,484,High,24,10080
4319703577,2016-05-03,1,474,512,Moderate,38,9648
7086361926,2016-04-13,1,451,465,High,14,5813
7086361926,2016-05-02,1,440,459,High,19,10052
2347167796,2016-04-22,1,405,461,High,56,7804
6962181067,2016-04-21,1,451,457,High,6,11835
7086361926,2016-05-08,1,481,510,High,29,10677
1503960366,2016-04-28,1,366,393,High,27,13154
4319703577,2016-05-07,1,507,530,Moderate,23,7937
5553957443,2016-04-19,1,357,410,Moderate,53,15482
4558609924,2016-04-29,1,171,179,Moderate,8,7833
4702921684,2016-04-20,1,454,468,Moderate,14,8793
5553957443,2016-05-03,1,380,429,Moderate,49,12848
5553957443,2016-05-05,1,419,464,Moderate,45,14331
4702921684,2016-04-18,1,293,312,Moderate,19,9105
5577150313,2016-04-14,1,477,497,Moderate,20,8596
5577150313,2016-04-22,1,338,366,Moderate,28,9172
1503960366,2016-04-19,1,304,320,High,16,15506
1503960366,2016-05-10,1,383,403,High,20,12207
6962181067,2016-04-25,1,400,415,High,15,13239
2347167796,2016-04-13,1,467,531,High,64,10352
3977333714,2016-04-29,1,333,478,High,145,10645
5577150313,2016-04-18,1,527,553,Moderate,26,9893
5577150313,2016-04-26,1,354,377,Moderate,23,5325
7086361926,2016-04-14,1,472,476,High,4,9123
6962181067,2016-04-22,1,425,435,High,10,10725
7086361926,2016-04-26,1,485,500,High,15,10387
1503960366,2016-04-15,1,412,442,High,30,9762
1503960366,2016-04-30,1,404,425,High,21,14673
6962181067,2016-05-10,1,469,481,High,12,15448
1503960366,2016-05-01,1,369,396,High,27,10602
2347167796,2016-04-23,1,374,386,High,12,16901
7086361926,2016-05-06,1,322,333,High,11,12461
4702921684,2016-04-30,1,479,501,Moderate,22,10144
5577150313,2016-04-29,1,459,485,Moderate,26,7924
6962181067,2016-05-03,1,394,418,High,24,12109
7086361926,2016-05-03,1,456,461,High,5,10288
4319703577,2016-04-30,1,490,516,Moderate,26,8221
5553957443,2016-04-15,1,377,409,Moderate,32,16556
5577150313,2016-04-25,1,421,461,Moderate,40,6393
3977333714,2016-05-01,1,383,626,High,243,10414
5553957443,2016-05-10,1,418,443,Moderate,25,16358
7086361926,2016-05-11,1,451,463,High,12,9572
3977333714,2016-05-03,1,292,500,High,208,14335
4558609924,2016-04-26,1,103,121,Moderate,18,9148
4702921684,2016-04-21,1,425,434,Moderate,9,6530
4702921684,2016-05-11,1,354,366,Moderate,12,9810
5553957443,2016-04-14,1,357,418,Moderate,61,17022
6962181067,2016-04-19,1,476,535,High,59,10742
6962181067,2016-04-23,1,528,546,High,18,20031
3977333714,2016-04-15,1,424,556,High,132,9010
4020332650,2016-05-05,1,226,248,Low,22,11728
4388161847,2016-04-20,1,421,451,High,30,10553
5553957443,2016-04-21,1,399,431,Moderate,32,12346
6962181067,2016-04-18,1,442,458,High,16,11404
7086361926,2016-05-07,1,530,548,High,18,12827
1503960366,2016-05-07,1,331,349,High,18,11992
4020332650,2016-05-04,1,478,536,Low,58,10252
4702921684,2016-05-07,1,520,543,Moderate,23,14370
4702921684,2016-05-07,1,520,543,Moderate,23,14370
5577150313,2016-04-28,1,361,372,Moderate,11,9841
3977333714,2016-04-24,1,310,526,High,216,14112
3977333714,2016-04-26,1,250,371,High,121,11388
4702921684,2016-04-24,1,480,506,Moderate,26,15050
5553957443,2016-04-25,1,433,468,Moderate,35,10946
6962181067,2016-05-06,1,443,462,High,19,5908
7086361926,2016-04-25,1,446,447,High,1,10091
6962181067,2016-04-27,1,455,467,High,12,10320
1927972279,2016-04-26,1,296,315,Low,19,3761
2026352035,2016-05-07,1,511,521,Moderate,10,4193
6117666160,2016-04-28,1,393,416,Moderate,23,3403
8792009665,2016-04-22,1,391,407,Low,16,4068
4702921684,2016-04-26,1,421,429,Moderate,8,6108
4558609924,2016-05-08,1,123,134,Moderate,11,6543
6962181067,2016-04-17,1,427,446,High,19,10145
6962181067,2016-05-04,1,442,455,High,13,10147
6962181067,2016-04-16,1,357,366,High,9,13217
8378563200,2016-04-29,1,527,562,High,35,6175
4445114986,2016-05-08,1,361,391,Low,30,7303
4319703577,2016-05-12,1,302,321,Moderate,19,17