Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Activeness,LateMinutes,,,,,,,
1503960366,4/12/2016,1,327,346,High,19,,,,,,,
1503960366,4/15/2016,1,412,442,High,30,,,,,,,
1503960366,4/17/2016,1,700,712,High,12,,,,,,,
1503960366,4/19/2016,1,304,320,High,16,,,,,,,
1503960366,4/20/2016,1,360,377,High,17,,,,,,,
1503960366,4/21/2016,1,325,364,High,39,,,,,,,1. Filtered only records that had 1 sleep record in sleepDay_merged)
1503960366,4/23/2016,1,361,384,High,23,,,,,,,2. Used VLOOKUP to pull activeness level of the user from user_categorization.csv file
1503960366,4/24/2016,1,430,449,High,19,,,,,,,
1503960366,4/25/2016,1,277,323,High,46,,,,,,,
1503960366,4/26/2016,1,245,274,High,29,,,,,,,
1503960366,4/28/2016,1,366,393,High,27,,,,,,,
1503960366,4/29/2016,1,341,354,High,13,,,,,,,
1503960366,4/30/2016,1,404,425,High,21,,,,,,,
1503960366,5/1/2016,1,369,396,High,27,,,,,,Unique Dates,31
1503960366,5/2/2016,1,277,309,High,32,,,,,,Unique IDs,24
1503960366,5/3/2016,1,273,296,High,23,,,,,,,
1503960366,5/5/2016,1,247,264,High,17,,,,,,,
1503960366,5/6/2016,1,334,367,High,33,,,,,,,
1503960366,5/7/2016,1,331,349,High,18,,,,,,,
1503960366,5/8/2016,1,594,611,High,17,,,,,,,
1503960366,5/9/2016,1,338,342,High,4,,,,,,,
1503960366,5/10/2016,1,383,403,High,20,,,,,,,
1503960366,5/11/2016,1,285,306,High,21,,,,,,,
1644430081,4/29/2016,1,119,127,Moderate,8,,,,,,,
1644430081,4/30/2016,1,124,142,Moderate,18,,,,,,,
1644430081,5/2/2016,1,796,961,Moderate,165,,,,,,,
1644430081,5/8/2016,1,137,154,Moderate,17,,,,,,,
1844505072,4/15/2016,1,644,961,Low,317,,,,,,,
1844505072,4/30/2016,1,722,961,Low,239,,,,,,,
1844505072,5/1/2016,1,590,961,Low,371,,,,,,,
1927972279,4/13/2016,1,398,422,Low,24,,,,,,,
1927972279,4/26/2016,1,296,315,Low,19,,,,,,,
1927972279,4/28/2016,1,166,178,Low,12,,,,,,,
2026352035,4/12/2016,1,503,546,Moderate,43,,,,,,,
2026352035,4/13/2016,1,531,565,Moderate,34,,,,,,,
2026352035,4/14/2016,1,545,568,Moderate,23,,,,,,,
2026352035,4/15/2016,1,523,573,Moderate,50,,,,,,,
2026352035,4/16/2016,1,524,567,Moderate,43,,,,,,,
2026352035,4/17/2016,1,437,498,Moderate,61,,,,,,,
2026352035,4/19/2016,1,498,540,Moderate,42,,,,,,,
2026352035,4/20/2016,1,461,510,Moderate,49,,,,,,,
2026352035,4/21/2016,1,477,514,Moderate,37,,,,,,,
2026352035,4/22/2016,1,520,545,Moderate,25,,,,,,,
2026352035,4/23/2016,1,522,554,Moderate,32,,,,,,,
2026352035,4/24/2016,1,555,591,Moderate,36,,,,,,,
2026352035,4/25/2016,1,506,531,Moderate,25,,,,,,,
2026352035,4/27/2016,1,508,545,Moderate,37,,,,,,,
2026352035,4/28/2016,1,513,545,Moderate,32,,,,,,,
2026352035,4/29/2016,1,490,510,Moderate,20,,,,,,,
2026352035,4/30/2016,1,573,607,Moderate,34,,,,,,,
2026352035,5/1/2016,1,527,546,Moderate,19,,,,,,,
2026352035,5/2/2016,1,511,543,Moderate,32,,,,,,,
2026352035,5/4/2016,1,538,560,Moderate,22,,,,,,,
2026352035,5/5/2016,1,468,485,Moderate,17,,,,,,,
2026352035,5/6/2016,1,524,548,Moderate,24,,,,,,,
2026352035,5/7/2016,1,511,521,Moderate,10,,,,,,,
2026352035,5/8/2016,1,541,568,Moderate,27,,,,,,,
2026352035,5/9/2016,1,531,556,Moderate,25,,,,,,,
2026352035,5/10/2016,1,357,380,Moderate,23,,,,,,,
2026352035,5/11/2016,1,523,553,Moderate,30,,,,,,,
2026352035,5/12/2016,1,456,485,Moderate,29,,,,,,,
2320127002,4/23/2016,1,61,69,Low,8,,,,,,,
2347167796,4/13/2016,1,467,531,High,64,,,,,,,
2347167796,4/14/2016,1,445,489,High,44,,,,,,,
2347167796,4/15/2016,1,452,504,High,52,,,,,,,
2347167796,4/17/2016,1,556,602,High,46,,,,,,,
2347167796,4/18/2016,1,500,557,High,57,,,,,,,
2347167796,4/19/2016,1,465,514,High,49,,,,,,,
2347167796,4/21/2016,1,460,484,High,24,,,,,,,
2347167796,4/22/2016,1,405,461,High,56,,,,,,,
2347167796,4/23/2016,1,374,386,High,12,,,,,,,
2347167796,4/24/2016,1,442,459,High,17,,,,,,,
2347167796,4/25/2016,1,433,471,High,38,,,,,,,
2347167796,4/26/2016,1,436,490,High,54,,,,,,,
2347167796,4/27/2016,1,448,499,High,51,,,,,,,
2347167796,4/28/2016,1,408,450,High,42,,,,,,,
2347167796,4/29/2016,1,411,473,High,62,,,,,,,
3977333714,4/12/2016,1,274,469,High,195,,,,,,,
3977333714,4/14/2016,1,291,397,High,106,,,,,,,
3977333714,4/15/2016,1,424,556,High,132,,,,,,,
3977333714,4/16/2016,1,283,510,High,227,,,,,,,
3977333714,4/17/2016,1,381,566,High,185,,,,,,,
3977333714,4/19/2016,1,219,395,High,176,,,,,,,
3977333714,4/21/2016,1,332,512,High,180,,,,,,,
3977333714,4/22/2016,1,355,476,High,121,,,,,,,
3977333714,4/23/2016,1,235,372,High,137,,,,,,,
3977333714,4/24/2016,1,310,526,High,216,,,,,,,
3977333714,4/25/2016,1,262,467,High,205,,,,,,,
3977333714,4/26/2016,1,250,371,High,121,,,,,,,
3977333714,4/27/2016,1,349,540,High,191,,,,,,,
3977333714,4/28/2016,1,261,423,High,162,,,,,,,
3977333714,4/29/2016,1,333,478,High,145,,,,,,,
3977333714,4/30/2016,1,237,382,High,145,,,,,,,
3977333714,5/1/2016,1,383,626,High,243,,,,,,,
3977333714,5/2/2016,1,230,384,High,154,,,,,,,
3977333714,5/3/2016,1,292,500,High,208,,,,,,,
3977333714,5/4/2016,1,213,336,High,123,,,,,,,
3977333714,5/5/2016,1,318,480,High,162,,,,,,,
3977333714,5/6/2016,1,323,512,High,189,,,,,,,
3977333714,5/7/2016,1,237,443,High,206,,,,,,,
3977333714,5/10/2016,1,312,452,High,140,,,,,,,
4020332650,4/12/2016,1,501,541,Low,40,,,,,,,
4020332650,4/16/2016,1,77,77,Low,0,,,,,,,
4020332650,5/3/2016,1,322,332,Low,10,,,,,,,
4020332650,5/4/2016,1,478,536,Low,58,,,,,,,
4020332650,5/5/2016,1,226,248,Low,22,,,,,,,
4020332650,5/6/2016,1,385,408,Low,23,,,,,,,
4020332650,5/8/2016,1,364,402,Low,38,,,,,,,
4020332650,5/10/2016,1,442,494,Low,52,,,,,,,
4319703577,4/14/2016,1,535,557,Moderate,22,,,,,,,
4319703577,4/15/2016,1,465,491,Moderate,26,,,,,,,
4319703577,4/16/2016,1,506,522,Moderate,16,,,,,,,
4319703577,4/18/2016,1,515,551,Moderate,36,,,,,,,
4319703577,4/20/2016,1,523,543,Moderate,20,,,,,,,
4319703577,4/21/2016,1,59,65,Moderate,6,,,,,,,
4319703577,4/22/2016,1,533,550,Moderate,17,,,,,,,
4319703577,4/23/2016,1,692,722,Moderate,30,,,,,,,
4319703577,4/24/2016,1,467,501,Moderate,34,,,,,,,
4319703577,4/25/2016,1,488,506,Moderate,18,,,,,,,
4319703577,4/26/2016,1,505,516,Moderate,11,,,,,,,
4319703577,4/27/2016,1,286,307,Moderate,21,,,,,,,
4319703577,4/28/2016,1,497,522,Moderate,25,,,,,,,
4319703577,4/29/2016,1,523,546,Moderate,23,,,,,,,
4319703577,4/30/2016,1,490,516,Moderate,26,,,,,,,
4319703577,5/1/2016,1,484,500,Moderate,16,,,,,,,
4319703577,5/2/2016,1,478,506,Moderate,28,,,,,,,
4319703577,5/3/2016,1,474,512,Moderate,38,,,,,,,
4319703577,5/6/2016,1,450,491,Moderate,41,,,,,,,
4319703577,5/7/2016,1,507,530,Moderate,23,,,,,,,
4319703577,5/8/2016,1,602,638,Moderate,36,,,,,,,
4319703577,5/9/2016,1,535,565,Moderate,30,,,,,,,
4319703577,5/10/2016,1,487,517,Moderate,30,,,,,,,
4319703577,5/11/2016,1,529,558,Moderate,29,,,,,,,
4319703577,5/12/2016,1,302,321,Moderate,19,,,,,,,
4388161847,4/15/2016,1,499,526,High,27,,,,,,,
4388161847,4/18/2016,1,99,104,High,5,,,,,,,
4388161847,4/19/2016,1,329,338,High,9,,,,,,,
4388161847,4/20/2016,1,421,451,High,30,,,,,,,
4388161847,4/21/2016,1,442,458,High,16,,,,,,,
4388161847,4/22/2016,1,82,85,High,3,,,,,,,
4388161847,4/23/2016,1,478,501,High,23,,,,,,,
4388161847,4/26/2016,1,319,346,High,27,,,,,,,
4388161847,4/27/2016,1,439,500,High,61,,,,,,,
4388161847,4/28/2016,1,428,458,High,30,,,,,,,
4388161847,5/1/2016,1,547,597,High,50,,,,,,,
4388161847,5/4/2016,1,390,414,High,24,,,,,,,
4388161847,5/5/2016,1,471,495,High,24,,,,,,,
4388161847,5/5/2016,1,471,495,High,24,,,,,,,
4388161847,5/7/2016,1,472,496,High,24,,,,,,,
4388161847,5/9/2016,1,62,65,High,3,,,,,,,
4388161847,5/10/2016,1,354,375,High,21,,,,,,,
4388161847,5/11/2016,1,469,494,High,25,,,,,,,
4445114986,4/14/2016,1,441,492,Low,51,,,,,,,
4445114986,4/16/2016,1,462,499,Low,37,,,,,,,
4445114986,4/17/2016,1,98,107,Low,9,,,,,,,
4445114986,4/20/2016,1,439,462,Low,23,,,,,,,
4445114986,4/21/2016,1,436,469,Low,33,,,,,,,
4445114986,4/22/2016,1,388,417,Low,29,,,,,,,
4445114986,4/25/2016,1,328,345,Low,17,,,,,,,
4445114986,4/27/2016,1,332,374,Low,42,,,,,,,
4445114986,4/28/2016,1,419,442,Low,23,,,,,,,
4445114986,4/29/2016,1,106,108,Low,2,,,,,,,
4445114986,4/30/2016,1,322,353,Low,31,,,,,,,
4445114986,5/2/2016,1,502,542,Low,40,,,,,,,
4445114986,5/8/2016,1,361,391,Low,30,,,,,,,
4445114986,5/9/2016,1,457,533,Low,76,,,,,,,
4445114986,5/10/2016,1,405,426,Low,21,,,,,,,
4445114986,5/11/2016,1,499,530,Low,31,,,,,,,
4445114986,5/12/2016,1,483,501,Low,18,,,,,,,
4558609924,4/21/2016,1,126,137,Moderate,11,,,,,,,
4558609924,4/26/2016,1,103,121,Moderate,18,,,,,,,
4558609924,4/29/2016,1,171,179,Moderate,8,,,,,,,
4558609924,5/1/2016,1,115,129,Moderate,14,,,,,,,
4558609924,5/8/2016,1,123,134,Moderate,11,,,,,,,
4702921684,4/12/2016,1,425,439,Moderate,14,,,,,,,
4702921684,4/14/2016,1,384,415,Moderate,31,,,,,,,
4702921684,4/15/2016,1,253,257,Moderate,4,,,,,,,
4702921684,4/17/2016,1,591,612,Moderate,21,,,,,,,
4702921684,4/18/2016,1,293,312,Moderate,19,,,,,,,
4702921684,4/19/2016,1,457,487,Moderate,30,,,,,,,
4702921684,4/20/2016,1,454,468,Moderate,14,,,,,,,
4702921684,4/21/2016,1,425,434,Moderate,9,,,,,,,
4702921684,4/23/2016,1,465,475,Moderate,10,,,,,,,
4702921684,4/24/2016,1,480,506,Moderate,26,,,,,,,
4702921684,4/25/2016,1,370,380,Moderate,10,,,,,,,
4702921684,4/26/2016,1,421,429,Moderate,8,,,,,,,
4702921684,4/27/2016,1,432,449,Moderate,17,,,,,,,
4702921684,4/28/2016,1,442,461,Moderate,19,,,,,,,
4702921684,4/29/2016,1,433,447,Moderate,14,,,,,,,
4702921684,4/30/2016,1,479,501,Moderate,22,,,,,,,
4702921684,5/3/2016,1,327,373,Moderate,46,,,,,,,
4702921684,5/4/2016,1,412,434,Moderate,22,,,,,,,
4702921684,5/5/2016,1,414,428,Moderate,14,,,,,,,
4702921684,5/6/2016,1,404,449,Moderate,45,,,,,,,
4702921684,5/7/2016,1,520,543,Moderate,23,,,,,,,
4702921684,5/7/2016,1,520,543,Moderate,23,,,,,,,
4702921684,5/9/2016,1,435,458,Moderate,23,,,,,,,
4702921684,5/10/2016,1,416,431,Moderate,15,,,,,,,
4702921684,5/11/2016,1,354,366,Moderate,12,,,,,,,
4702921684,5/12/2016,1,404,442,Moderate,38,,,,,,,
5553957443,4/12/2016,1,441,464,Moderate,23,,,,,,,
5553957443,4/14/2016,1,357,418,Moderate,61,,,,,,,
5553957443,4/15/2016,1,377,409,Moderate,32,,,,,,,
5553957443,4/17/2016,1,350,402,Moderate,52,,,,,,,
5553957443,4/19/2016,1,357,410,Moderate,53,,,,,,,
5553957443,4/20/2016,1,658,678,Moderate,20,,,,,,,
5553957443,4/21/2016,1,399,431,Moderate,32,,,,,,,
5553957443,4/22/2016,1,322,353,Moderate,31,,,,,,,
5553957443,4/25/2016,1,433,468,Moderate,35,,,,,,,
5553957443,4/26/2016,1,412,453,Moderate,41,,,,,,,
5553957443,4/27/2016,1,347,391,Moderate,44,,,,,,,
5553957443,4/28/2016,1,421,457,Moderate,36,,,,,,,
5553957443,4/29/2016,1,450,495,Moderate,45,,,,,,,
5553957443,5/2/2016,1,409,471,Moderate,62,,,,,,,
5553957443,5/3/2016,1,380,429,Moderate,49,,,,,,,
5553957443,5/4/2016,1,447,470,Moderate,23,,,,,,,
5553957443,5/5/2016,1,419,464,Moderate,45,,,,,,,
5553957443,5/6/2016,1,400,434,Moderate,34,,,,,,,
5553957443,5/7/2016,1,442,470,Moderate,28,,,,,,,
5553957443,5/8/2016,1,568,608,Moderate,40,,,,,,,
5553957443,5/9/2016,1,453,494,Moderate,41,,,,,,,
5553957443,5/10/2016,1,418,443,Moderate,25,,,,,,,
5553957443,5/11/2016,1,463,486,Moderate,23,,,,,,,
5553957443,5/12/2016,1,438,475,Moderate,37,,,,,,,
5577150313,4/12/2016,1,419,438,Moderate,19,,,,,,,
5577150313,4/13/2016,1,432,458,Moderate,26,,,,,,,
5577150313,4/14/2016,1,477,497,Moderate,20,,,,,,,
5577150313,4/15/2016,1,392,413,Moderate,21,,,,,,,
5577150313,4/16/2016,1,406,445,Moderate,39,,,,,,,
5577150313,4/17/2016,1,549,583,Moderate,34,,,,,,,
5577150313,4/18/2016,1,527,553,Moderate,26,,,,,,,
5577150313,4/19/2016,1,449,465,Moderate,16,,,,,,,
5577150313,4/20/2016,1,447,480,Moderate,33,,,,,,,
5577150313,4/21/2016,1,414,437,Moderate,23,,,,,,,
5577150313,4/22/2016,1,338,366,Moderate,28,,,,,,,
5577150313,4/23/2016,1,384,402,Moderate,18,,,,,,,
5577150313,4/24/2016,1,543,615,Moderate,72,,,,,,,
5577150313,4/25/2016,1,421,461,Moderate,40,,,,,,,
5577150313,4/26/2016,1,354,377,Moderate,23,,,,,,,
5577150313,4/27/2016,1,424,452,Moderate,28,,,,,,,
5577150313,4/28/2016,1,361,372,Moderate,11,,,,,,,
5577150313,4/29/2016,1,459,485,Moderate,26,,,,,,,
5577150313,4/30/2016,1,412,433,Moderate,21,,,,,,,
5577150313,5/1/2016,1,379,398,Moderate,19,,,,,,,
5577150313,5/3/2016,1,508,543,Moderate,35,,,,,,,
5577150313,5/4/2016,1,603,634,Moderate,31,,,,,,,
5577150313,5/5/2016,1,74,78,Moderate,4,,,,,,,
5577150313,5/10/2016,1,504,562,Moderate,58,,,,,,,
5577150313,5/11/2016,1,431,476,Moderate,45,,,,,,,
6117666160,4/16/2016,1,380,398,Moderate,18,,,,,,,
6117666160,4/19/2016,1,465,492,Moderate,27,,,,,,,
6117666160,4/20/2016,1,474,502,Moderate,28,,,,,,,
6117666160,4/21/2016,1,508,550,Moderate,42,,,,,,,
6117666160,4/22/2016,1,480,546,Moderate,66,,,,,,,
6117666160,4/23/2016,1,492,539,Moderate,47,,,,,,,
6117666160,4/24/2016,1,353,367,Moderate,14,,,,,,,
6117666160,4/27/2016,1,542,557,Moderate,15,,,,,,,
6117666160,4/28/2016,1,393,416,Moderate,23,,,,,,,
6117666160,4/29/2016,1,600,636,Moderate,36,,,,,,,
6117666160,5/1/2016,1,507,575,Moderate,68,,,,,,,
6117666160,5/5/2016,1,392,415,Moderate,23,,,,,,,
6117666160,5/8/2016,1,555,603,Moderate,48,,,,,,,
6117666160,5/9/2016,1,492,522,Moderate,30,,,,,,,
6775888955,4/13/2016,1,235,260,Low,25,,,,,,,
6775888955,4/14/2016,1,423,441,Low,18,,,,,,,
6775888955,4/15/2016,1,391,406,Low,15,,,,,,,
6962181067,4/12/2016,1,366,387,High,21,,,,,,,
6962181067,4/15/2016,1,370,386,High,16,,,,,,,
6962181067,4/16/2016,1,357,366,High,9,,,,,,,
6962181067,4/17/2016,1,427,446,High,19,,,,,,,
6962181067,4/18/2016,1,442,458,High,16,,,,,,,
6962181067,4/19/2016,1,476,535,High,59,,,,,,,
6962181067,4/20/2016,1,418,424,High,6,,,,,,,
6962181067,4/21/2016,1,451,457,High,6,,,,,,,
6962181067,4/22/2016,1,425,435,High,10,,,,,,,
6962181067,4/23/2016,1,528,546,High,18,,,,,,,
6962181067,4/24/2016,1,511,514,High,3,,,,,,,
6962181067,4/25/2016,1,400,415,High,15,,,,,,,
6962181067,4/26/2016,1,441,446,High,5,,,,,,,
6962181067,4/27/2016,1,455,467,High,12,,,,,,,
6962181067,4/28/2016,1,440,453,High,13,,,,,,,
6962181067,4/29/2016,1,433,447,High,14,,,,,,,
6962181067,4/30/2016,1,422,424,High,2,,,,,,,
6962181067,5/1/2016,1,411,426,High,15,,,,,,,
6962181067,5/2/2016,1,466,482,High,16,,,,,,,
6962181067,5/3/2016,1,394,418,High,24,,,,,,,
6962181067,5/4/2016,1,442,455,High,13,,,,,,,
6962181067,5/5/2016,1,467,491,High,24,,,,,,,
6962181067,5/6/2016,1,443,462,High,19,,,,,,,
6962181067,5/7/2016,1,298,334,High,36,,,,,,,
6962181067,5/8/2016,1,541,569,High,28,,,,,,,
6962181067,5/9/2016,1,489,497,High,8,,,,,,,
6962181067,5/10/2016,1,469,481,High,12,,,,,,,
6962181067,5/11/2016,1,452,480,High,28,,,,,,,
6962181067,5/12/2016,1,516,535,High,19,,,,,,,
7007744171,4/16/2016,1,79,82,High,3,,,,,,,
7007744171,5/1/2016,1,58,61,High,3,,,,,,,
7086361926,4/12/2016,1,514,525,High,11,,,,,,,
7086361926,4/13/2016,1,451,465,High,14,,,,,,,
7086361926,4/14/2016,1,472,476,High,4,,,,,,,
7086361926,4/15/2016,1,377,386,High,9,,,,,,,
7086361926,4/19/2016,1,472,483,High,11,,,,,,,
7086361926,4/20/2016,1,492,502,High,10,,,,,,,
7086361926,4/21/2016,1,390,411,High,21,,,,,,,
7086361926,4/22/2016,1,428,448,High,20,,,,,,,
7086361926,4/24/2016,1,681,704,High,23,,,,,,,
7086361926,4/25/2016,1,446,447,High,1,,,,,,,
7086361926,4/26/2016,1,485,500,High,15,,,,,,,
7086361926,4/27/2016,1,469,479,High,10,,,,,,,
7086361926,4/28/2016,1,354,367,High,13,,,,,,,
7086361926,4/30/2016,1,485,489,High,4,,,,,,,
7086361926,5/1/2016,1,388,407,High,19,,,,,,,
7086361926,5/2/2016,1,440,459,High,19,,,,,,,
7086361926,5/3/2016,1,456,461,High,5,,,,,,,
7086361926,5/4/2016,1,420,436,High,16,,,,,,,
7086361926,5/6/2016,1,322,333,High,11,,,,,,,
7086361926,5/7/2016,1,530,548,High,18,,,,,,,
7086361926,5/8/2016,1,481,510,High,29,,,,,,,
7086361926,5/9/2016,1,427,438,High,11,,,,,,,
7086361926,5/11/2016,1,451,463,High,12,,,,,,,
7086361926,5/12/2016,1,444,457,High,13,,,,,,,
8053475328,4/20/2016,1,486,493,Very High,7,,,,,,,
8053475328,4/23/2016,1,331,337,Very High,6,,,,,,,
8053475328,5/7/2016,1,74,75,Very High,1,,,,,,,
8378563200,4/12/2016,1,338,356,High,18,,,,,,,
8378563200,4/14/2016,1,424,455,High,31,,,,,,,
8378563200,4/15/2016,1,513,533,High,20,,,,,,,
8378563200,4/18/2016,1,398,451,High,53,,,,,,,
8378563200,4/19/2016,1,387,421,High,34,,,,,,,
8378563200,4/20/2016,1,381,409,High,28,,,,,,,
8378563200,4/21/2016,1,396,417,High,21,,,,,,,
8378563200,4/22/2016,1,441,469,High,28,,,,,,,
8378563200,4/23/2016,1,565,591,High,26,,,,,,,
8378563200,4/24/2016,1,458,492,High,34,,,,,,,
8378563200,4/25/2016,1,388,402,High,14,,,,,,,
8378563200,4/25/2016,1,388,402,High,14,,,,,,,
8378563200,4/26/2016,1,550,584,High,34,,,,,,,
8378563200,4/27/2016,1,531,600,High,69,,,,,,,
8378563200,4/28/2016,1,506,556,High,50,,,,,,,
8378563200,4/29/2016,1,527,562,High,35,,,,,,,
8378563200,4/30/2016,1,468,555,High,87,,,,,,,
8378563200,5/1/2016,1,475,539,High,64,,,,,,,
8378563200,5/2/2016,1,351,385,High,34,,,,,,,
8378563200,5/3/2016,1,405,429,High,24,,,,,,,
8378563200,5/4/2016,1,441,477,High,36,,,,,,,
8378563200,5/5/2016,1,381,417,High,36,,,,,,,
8378563200,5/6/2016,1,323,355,High,32,,,,,,,
8378563200,5/8/2016,1,545,606,High,61,,,,,,,
8378563200,5/9/2016,1,359,399,High,40,,,,,,,
8378563200,5/10/2016,1,342,391,High,49,,,,,,,
8378563200,5/11/2016,1,368,387,High,19,,,,,,,
8378563200,5/12/2016,1,496,546,High,50,,,,,,,
8792009665,4/12/2016,1,458,493,Low,35,,,,,,,
8792009665,4/13/2016,1,531,552,Low,21,,,,,,,
8792009665,4/14/2016,1,486,503,Low,17,,,,,,,
8792009665,4/15/2016,1,363,377,Low,14,,,,,,,
8792009665,4/20/2016,1,528,547,Low,19,,,,,,,
8792009665,4/22/2016,1,391,407,Low,16,,,,,,,
8792009665,4/23/2016,1,339,360,Low,21,,,,,,,
8792009665,4/27/2016,1,423,428,Low,5,,,,,,,
8792009665,4/28/2016,1,402,416,Low,14,,,,,,,
8792009665,4/29/2016,1,398,406,Low,8,,,,,,,
8792009665,4/30/2016,1,343,360,Low,17,,,,,,,
8792009665,5/1/2016,1,503,527,Low,24,,,,,,,
8792009665,5/2/2016,1,415,423,Low,8,,,,,,,
8792009665,5/3/2016,1,516,545,Low,29,,,,,,,
8792009665,5/4/2016,1,439,463,Low,24,,,,,,,
